Colony,Nest,Day,ScaledX,ScaledY,Density
9,Circle,16,2.966820988,1.043595679,High
9,Circle,16,3.128858025,1.174768519,High
9,Circle,16,3.167438272,1.359953704,High
9,Circle,16,3.445216049,1.329089506,High
9,Circle,16,3.933898534,1.164481096,High
9,Circle,16,4.095935571,1.311086034,High
9,Tube,2,1.856187291,1.185432925,High
9,Tube,2,1.906973244,2.18753809,High
9,Tube,2,1.96023783,2.412982163,High
9,Tube,2,2.465626161,2.699121145,High
9,Tube,2,5.493000743,2.250711631,High
9,Tube,2,5.532640282,1.483959495,High
9,Tube,2,5.707296544,2.702837235,High
9,Tube,3,2.043075684,2.423510467,High
9,Tube,3,2.062198068,2.587560386,High
9,Tube,3,2.748927134,1.343935185,High
9,Tube,3,3.283011272,1.326489533,High
9,Tube,3,3.707729469,1.129227053,High
9,Tube,3,5.524019726,2.650295894,High
9,Tube,3,5.630032206,1.540525362,High
9,Tube,3,5.686392915,1.763285024,High
9,Tube,4,2.053642774,2.101986477,High
9,Tube,4,2.17946991,2.832450618,High
9,Tube,4,3.044371782,1.386754783,High
9,Tube,4,5.345695318,2.549006285,High
9,Tube,4,5.692715802,1.529801122,High
9,Tube,4,5.782781353,1.298012411,High
9,Tube,4,5.789403207,1.851655384,High
9,Tube,5,2.388800635,1.393963463,High
9,Tube,5,3.112589357,1.231135822,High
9,Tube,5,3.393566322,2.670770453,High
9,Tube,5,3.499469817,1.193407466,High
9,Tube,5,5.302488086,2.570160842,High
9,Tube,5,5.520915409,2.576781176,High
9,Tube,5,5.592400715,1.376092137,High
9,Tube,6,1.895084028,2.197885498,High
9,Tube,6,2.117550414,2.686761561,High
9,Tube,6,2.216424364,1.526366592,High
9,Tube,6,2.351002108,2.609860287,High
9,Tube,6,4.596264707,1.345097685,High
9,Tube,6,5.051496849,2.626339279,High
9,Tube,6,5.666025222,1.668497895,High
9,Tube,6,5.685252085,2.099697487,High
9,Tube,7,2.018611329,2.737785995,High
9,Tube,7,2.134938807,1.348706535,High
9,Tube,7,2.391542029,1.33638958,High
9,Tube,7,2.69741307,1.221431337,High
9,Tube,7,3.822361595,2.664567858,High
9,Tube,7,4.314356191,2.599561024,High
9,Tube,7,5.602161543,2.568085046,High
9,Tube,7,5.641165233,1.673053008,High
9,Tube,8,1.805251073,1.805251073,High
9,Tube,8,1.901456419,2.122733249,High
9,Tube,8,1.979796176,1.799752859,High
9,Tube,8,2.700660074,2.612012454,High
9,Tube,8,3.108851444,1.443100803,High
9,Tube,8,5.067345391,1.325591166,High
9,Tube,8,5.345657689,2.630566607,High
9,Tube,12,1.915965953,2.060061209,High
9,Tube,12,2.232848125,2.635807192,High
9,Tube,12,2.674062739,1.245218057,High
9,Tube,12,3.110175976,2.683626626,High
9,Tube,12,3.167559296,1.273909717,High
9,Tube,12,4.013006886,2.581612471,High
9,Tube,12,5.193190513,1.254781943,High
9,Tube,12,5.543228768,2.420939174,High
9,Tube,13,2.033668731,1.875,High
9,Tube,13,2.811532508,1.251934985,High
9,Tube,13,3.471362229,1.290634675,High
9,Tube,13,4.180210913,2.751547988,High
9,Tube,13,5.160603715,2.621904025,High
9,Tube,13,5.390866873,1.414473684,High
9,Tube,13,5.728844814,1.879514319,High
9,Tube,14,1.936987323,2.138329605,High
9,Tube,14,2.102908277,2.604399702,High
9,Tube,14,2.941834452,1.446681581,High
9,Tube,14,3.434004474,2.703827368,High
