Colony,Nest,Day,ScaledX,ScaledY,Bin,CoordID,Density
15,Circle,3,3.176402767,3.380092237,8,63,Low
15,Circle,4,2.346353516,1.766927734,4,15,Low
15,Circle,5,4.375805019,1.245173745,2,88,Low
15,Circle,6,3.469850543,1.215062112,2,9,Low
15,Circle,7,4.422032583,3.149728472,7,106,Low
15,Circle,12,4.310556465,1.037915303,2,109,Low
15,Circle,14,5.024026935,1.100151745,2,65,Low
15,Circle,15,4.866666667,1.180864815,2,72,Low
15,Tube,4,6.919247788,3.622173673,7,82,Low
15,Tube,7,6.810410334,3.958966565,6,144,Low
15,Tube,8,6.799003538,3.735587657,7,162,Low
15,Tube,9,4.585974643,4.179873217,5,133,Low
15,Tube,10,6.183426073,4.340222576,6,152,Low
15,Tube,11,6.397533047,4.249597539,6,124,Low
15,Tube,12,6.143561137,4.162772586,6,143,Low
15,Tube,13,6.23049922,4.117264041,6,145,Low
15,Tube,14,6.414722119,1.879090404,7,198,Low
15,Tube,15,2.793754284,4.282275453,5,43,Low
16,Circle,2,3.398904806,1.120518068,7,11,Low
16,Circle,2,4.267306308,0.98418837,6,12,Low
16,Circle,5,3.777510064,0.995706522,6,18,Low
16,Circle,5,3.800322061,1.111111111,7,19,Low
16,Circle,6,3.774284893,0.853782592,5,18,Low
16,Circle,6,3.540389187,1.064672163,6,19,Low
16,Circle,7,3.600898693,0.759803922,4,19,Low
16,Circle,7,3.676470588,0.949754902,6,20,Low
16,Circle,8,3.533380682,0.692471591,3,7,Low
16,Circle,8,3.568892045,0.810842803,4,8,Low
16,Circle,9,3.670353982,1.115044248,7,14,Low
16,Circle,9,3.460176991,1.07079646,7,15,Low
16,Circle,10,3.606770833,0.878183594,5,14,Low
16,Circle,10,3.334780816,0.896990017,5,15,Low
16,Circle,11,4.012567325,1.014362657,6,12,Low
16,Circle,11,3.78665395,0.933572711,5,13,Low
16,Circle,12,3.513133208,1.053782833,6,14,Low
16,Circle,12,3.864915572,0.783302064,4,15,Low
16,Circle,13,3.616492176,0.951317064,6,11,Low
