"Colony","Nest","Day","ScaledX","ScaledY","Bin","CoordID","ColorID","Head","Sex","SexNumber","TotalNumber"
12,"Tube",5,5.138785925,3.187177598,6,81,"A,M,17,22","A","M",17,22
12,"Tube",5,5.447678703,3.225865881,6,83,"A,F,6,23","A","F",6,23
12,"Tube",5,6.162490789,3.026897568,6,85,"A,M,18,24","A","M",18,24
12,"Tube",5,6.011422255,2.827929256,7,86,"A,M,19,25","A","M",19,25
12,"Tube",5,6.188282977,2.072586588,7,89,"A,M,20,26","A","M",20,26
12,"Tube",5,6.29513633,1.5899042,7,92,"A,M,20,26","A","M",20,26
12,"Tube",5,6.092483419,1.578850405,7,93,"A,M,21,27","A","M",21,27
12,"Tube",5,5.788504053,1.717022845,7,95,"A,F,7,28","A","F",7,28
12,"Tube",5,5.683492999,1.62736367,7,100,"A,M,22,28","A","M",22,28
12,"Tube",5,4.568288504,1.60525608,8,101,"A,M,23,29","A","M",23,29
12,"Tube",7,3.623323398,0.698584203,1,11,"A,M,1,1","A","M",1,1
12,"Tube",7,3.129657228,1.732488823,2,22,"A,M,2,2","A","M",2,2
12,"Tube",7,2.431073025,1.467958271,2,28,"A,M,3,3","A","M",3,3
12,"Tube",7,2.468330849,1.602086438,2,29,"A,M,4,4","A","M",4,4
12,"Tube",7,2.274590164,1.795827124,2,31,"A,M,5,5","A","M",5,5
12,"Tube",7,1.69709389,1.531296572,3,39,"A,M,6,6","A","M",6,6
12,"Tube",7,1.702682563,1.676602086,3,40,"A,M,7,7","A","M",7,7
12,"Tube",7,1.779061103,2.492548435,3,46,"A,M,8,8","A","M",8,8
12,"Tube",7,1.467958271,3.026266766,4,52,"A,M,9,9","A","M",9,9
12,"Tube",7,1.663561848,3.177160954,4,53,"A,M,10,10","A","M",10,10
12,"Tube",7,1.757637854,3.237704918,4,54,"A,M,11,11","A","M",11,11
12,"Tube",7,1.576005961,3.393256334,4,56,"A,M,12,12","A","M",12,12
12,"Tube",7,2.755836438,3.392945231,4,62,"A,M,13,13","A","M",13,13
12,"Tube",7,3.845007452,3.446348733,5,68,"A,M,14,14","A","M",14,14
12,"Tube",7,4.04247392,3.103576751,5,70,"A,F,1,15","A","F",1,15
12,"Tube",7,3.85494225,3.269994411,5,71,"A,M,15,16","A","M",15,16
12,"Tube",7,4.294584575,3.227770119,5,72,"A,M,16,17","A","M",16,17
12,"Tube",7,4.226279806,3.410333458,5,73,"A,F,2,18","A","F",2,18
12,"Tube",7,4.664679583,3.461251863,6,75,"A,M,17,19","A","M",17,19
12,"Tube",7,4.476527571,3.30942623,5,76,"A,M,18,20","A","M",18,20
12,"Tube",7,4.458830104,3.188338301,5,77,"A,M,19,21","A","M",19,21
12,"Tube",7,4.680514158,3.11661699,6,78,"A,M,20,22","A","M",20,22
