"Colony","Nest","ColorID","SFZ","SFZ_Full","Area","ScaledX","ScaledY","Density","Day"
1,"Circle","X,X,Lb,X",0.25,0.25,5.203608,2.901458891,1.836429384,"High",6
1,"Circle","X,X,W,G",0,0.291666666666667,5.203608,2.755475197,2.334106724,"High",6
1,"Circle","X,X,X,O",0.166666666666667,0.166666666666667,5.203608,3.292966724,2.081948546,"High",6
1,"Circle","X,Y,X,X",0.0833333333333333,0.291666666666667,5.203608,2.911412438,2.251158842,"High",6
1,"Circle","Y,B,O,Y",0.166666666666667,0.333333333333333,5.203608,2.984406774,1.902784704,"High",6
1,"Circle","Y,DB,G,Y",0.166666666666667,0.291666666666667,5.203608,2.808562439,1.753481502,"High",6
1,"Circle","Y,Db,Lb,W",0.125,0.125,5.203608,3.747510369,2.234571256,"High",6
1,"Circle","Y,DB,O,P",0.166666666666667,0.166666666666667,5.203608,3.906767118,2.00563968,"High",6
1,"Circle","Y,DB,P,O",0.25,0.25,5.203608,3.488718152,1.770074064,"High",6
1,"Circle","Y,G,W,Y",0.208333333333333,0.208333333333333,5.203608,2.891505345,1.683806674,"High",6
1,"Circle","Y,LB,G,W",0.0833333333333333,0.375,5.203608,2.500002488,2.420369137,"High",6
1,"Circle","Y,O,DB,W",0.25,0.25,5.203608,3.107168843,2.999337094,"High",6
1,"Circle","Y,O,G,G",0.125,0.125,5.203608,2.748841158,2.125082241,"High",6
1,"Circle","Y,O,W,DB",0.333333333333333,0.416666666666667,5.203608,2.928005001,2.79694665,"High",6
1,"Circle","Y,P,P,B",0.208333333333333,0.208333333333333,5.203608,3.017586922,2.596218449,"High",6
1,"Circle","Y,P,W,O",0.166666666666667,0.291666666666667,5.203608,4.271733818,2.572991847,"High",6
1,"Circle","Y,P,X,X",0.166666666666667,0.166666666666667,5.203608,4.01957564,1.770074064,"High",6
1,"Circle","Y,W,Db,Lb",0.0833333333333333,0.416666666666667,5.203608,4.162244804,2.770405517,"High",6
1,"Circle","Y,W,G,O",0.25,0.25,5.203608,2.858330173,1.932645344,"High",6
1,"Circle","Y,W,O,G",0.208333333333333,0.208333333333333,5.203608,3.545124902,3.161908374,"High",6
1,"Circle","Y,W,P,Y",0.25,0.25,5.203608,3.744195838,1.806568744,"High",6
1,"Circle","Y,X,W,X",0.166666666666667,0.166666666666667,5.203608,4.052755789,1.949237907,"High",6
1,"Circle","Y,X,Y,X",0.166666666666667,0.333333333333333,5.203608,3.886860024,2.463502832,"High",6
1,"Circle","G,G,G,P",0.166666666666667,0.291666666666667,5.203608,3.502591918,2.635283443,"High",7
1,"Circle","G,G,LB,O",0.25,0.25,5.203608,3.732389746,2.768715516,"High",7
1,"Circle","G,G,W,W",0.208333333333333,0.208333333333333,5.203608,5.057448067,1.623423556,"High",7
1,"Circle","G,O,X,X",0.166666666666667,0.166666666666667,5.203608,3.876941159,2.802073534,"High",7
1,"Circle","G,P,G,G",0.291666666666667,0.375,5.203608,3.569307955,2.431432593,"High",7
1,"Circle","G,P,LB,Y",0.25,0.333333333333333,5.203608,3.452554891,1.793921947,"High",7
1,"Circle","G,P,Y,LB",0.208333333333333,0.208333333333333,5.203608,3.08561669,1.582654498,"High",7
1,"Circle","G,W,LB,LB",0.291666666666667,0.333333333333333,5.203608,3.4692339,2.064494393,"High",7
1,"Circle","G,Y,Y,P",0.208333333333333,0.208333333333333,5.203608,4.483873622,1.905115341,"High",7
1,"Circle","W,B,O,G",0.25,0.375,5.203608,3.786135073,1.032247196,"High",7
1,"Circle","W,B,P,Y",0.25,0.25,5.203608,3.914007477,2.572275706,"High",7
1,"Circle","W,Db,X,X",0.25,0.25,5.203608,3.378427814,1.258342284,"High",7
1,"Circle","W,G,B,LB",0.25,0.25,5.203608,4.684021732,1.796701782,"High",7
1,"Circle","G,G,G,W",0.166666666666667,0.166666666666667,5.203608,2.709410519,2.275761842,"High",7
1,"Circle","W,G,G,W",0,0.333333333333333,5.203608,4.61452586,2.461082312,"High",7
1,"Circle","W,G,O,O",0.125,0.125,5.203608,4.253147329,1.449222425,"High",7
1,"Circle","W,G,Y,Y",0.166666666666667,0.333333333333333,5.203608,3.767604694,0.439213907,"High",7
1,"Circle","W,LB,G,Y",0.166666666666667,0.166666666666667,5.203608,3.141213387,0.732025032,"High",7
1,"Circle","W,O,O,W",0.166666666666667,0.333333333333333,5.203608,2.781686226,1.671609213,"High",7
1,"Circle","W,O,X,X",0.208333333333333,0.208333333333333,5.203608,3.502591918,2.809490134,"High",7
1,"Circle","W,P,O,Y",0.208333333333333,0.375,5.203608,3.897328468,1.369535679,"High",7
1,"Circle","W,P,X,X",0,0.333333333333333,5.203608,2.941065277,1.139732291,"High",7
1,"Circle","W,W,DB,DB",0.208333333333333,0.375,5.203608,3.86026215,1.095254933,"High",7
1,"Circle","W,W,O,LB",0.25,0.333333333333333,5.203608,3.584135594,2.735357498,"High",7
1,"Circle","W,W,X,X",0.25,0.25,5.203608,3.422905172,0.58376532,"High",7
1,"Circle","W,X,W,X",0.208333333333333,0.208333333333333,5.203608,3.619344982,1.816160626,"High",7
1,"Circle","W,X,X,W",0.25,0.25,5.203608,3.819493092,0.290959755,"High",7
1,"Circle","W,X,X,X",0.166666666666667,0.333333333333333,5.203608,4.705331946,1.549296479,"High",7
1,"Circle","W,Y,G,B",0.0833333333333333,0.291666666666667,5.203608,4.879538636,1.419572706,"High",7
1,"Circle","W,Y,O,DB",0.25,0.25,5.203608,4.968493352,1.419572706,"High",7
1,"Circle","W,Y,X,X",0.208333333333333,0.208333333333333,5.203608,2.577835376,1.693847892,"High",7
1,"Circle","X,Db,Db,X",0.208333333333333,0.208333333333333,5.203608,3.048550372,0.932173141,"High",7
1,"Circle","X,Db,X,X",0.208333333333333,0.208333333333333,5.203608,4.290213647,1.590065537,"High",7
1,"Circle","X,O,Lb,X",0.166666666666667,0.333333333333333,5.203608,3.706448327,2.531506648,"High",7
